TECHPUBLAYERNAME,GEOCATUUID,STATUS (ZS),INGESTSTATE,TIMESTANDDATE,
ch.vbs.patrouilledesglaciers-a_rennen,30c41be6-0f35-4caa-aeda-45f8705911fb,Published,Productive,2019-05-29 00:00:00,A
ch.bakom.mobil-antennenstandorte-umts,312ddf6a-52b1-4bd9-9610-f0e3707dedff,Published,Productive,2018-05-01 00:00:00,A
ch.swisstopo.geologie-geomol-isotherme_150,31dc428e-a62b-4f6b-a263-e5eca9d9a074,Published,Productive,2020-03-03 00:00:00,A
ch.astra.schwerverunfallte-kanton_pro_einwohner,3244a0b1-9589-43bb-b808-359c4aa13953,Published,Productive,2022-02-27 00:00:00,A
ch.eda.internationale-organisationen,3247a86f-ae32-4c4e-a8e9-51aca59aa81f,InProgress,Productive,2021-03-12 00:00:00,A
ch.bfe.fernwaerme-nachfrage_wohn_dienstleistungsgebaeude,32a8a3cd-d269-4915-b983-54fd979ca486,Published,Productive,2013-12-31 00:00:00,A
ch.bafu.ren-fliessgewaesser_seen,32dfd304-28de-4e82-ad8d-8d6cb6b5fe83,Published,Productive,2011-02-14 00:00:00,A
ch.blw.emapis-wegebau,32e02738-e1fa-4eae-81dc-ce65938031ac,Published,Decommissioned,2019-06-06 00:00:00,C
ch.swisstopo-karto.skitouren,33090bf2-e8e5-4776-9f64-00d7a6170808,Published,Productive,2022-12-01 00:00:00,A
ch.bakom.notruf-117_festnetz,33185a17-c810-41e0-aacd-3f3d44e410bd,Published,Productive,2021-06-01 00:00:00,A
ch.are.reisezeit-agglomerationen-oev,333489d5-6ea1-468d-b1d5-bd213d9f1d0b,Published,Productive,2017-06-30 00:00:00,A
ch.swisstopo.geologie-geowege,3356602e-23d5-4e42-9d75-55fe9cc2daba,Published,Productive,2020-03-12 00:00:00,A
ch.swisstopo.geologie-rohstoffe-gips_abbau_verarbeitung,33f974a7-8852-449d-ba68-646b10710f60,Published,Productive,2018-02-22 00:00:00,A
ch.swisstopo.geologie-geologischer_atlas_profile,345d02a3-9628-46d7-9e57-e0ab1d9faf8a,Published,NotProductive,2022-04-08 00:00:00,B
ch.meteoschweiz.messnetz-partner,34dfcd14-f8d2-4bcb-94d4-1de4b0af3021,Published,Productive,2018-03-09 00:00:00,A
ch.bafu.waldschadenflaechen-vivian,34fdf24c-b275-4d48-852b-f79d86358318,Published,Productive,1992-01-15 00:00:00,A
se.lfv.luftfahrtkarte-100,350ab853-9111-4cb0-b264-17df10a77a21,Published,Productive,2010-09-30 00:00:00,A
ch.meteoschweiz.messwerte-sonnenscheindauer-kumuliert-10min,351b2fa0-060b-4ca4-a10b-d49c69eb0091,Published,NotProductive,2018-03-09 00:00:00,B
ch.bafu.neophyten-einjaehriges_berufkraut,351e94e5-d72c-45d2-8170-400902a46d42,Published,Productive,2015-10-07 00:00:00,A
ch.swisstopo.lubis-luftbilder_farbe,352c0302-fac6-455b-bd81-092850a7ad4e,Published,Productive,2022-07-15 00:00:00,A
ch.vbs.medizinisches-zentrum-der-region,354eead2-dd8a-431a-8230-3556b49c5dd8,InProgress,Productive,2018-10-25 00:00:00,A
ch.vbs.strassenverkehrsaemter,3572ff9c-5526-46f4-964d-e33e883c0178,InProgress,Productive,2022-01-27 00:00:00,A
ch.bafu.gewaesserschutz-chemischer_zustand_phosphor_gesamt,359e590e-4c29-494a-80ba-182a9682173c,Published,Productive,2015-12-31 00:00:00,A
ch.bfe.wpsm-qualifizierte_firmen,35b90cb8-1950-4fc9-8431-c08ebbcad4fb,InProgress,NotProductive,2018-04-10 00:00:00,B
ch.bafu.wrz-jagdbanngebiete_select,35f25047-ea29-4422-9497-3dac46e00eb9,Published,Productive,2022-12-01 00:00:00,A
ch.bafu.gewaesserschutz-chemischer_zustand_ammonium,35fe15e6-ea42-467e-928c-ce2b75512972,Published,Productive,2015-12-31 00:00:00,A
ch.med.logistikstandorte,36276013-50a4-47e2-ae45-1f72e22e0bca,InProgress,Productive,2022-04-14 00:00:00,A
ch.swisstopo.images-swissimage.metadata,36644ce1-4e39-4fa4-8430-7d69ab619b16,Published,Decommissioned,2017-01-01 00:00:00,C
ch.bafu.bundesinventare-amphibien_wanderobjekte,36a55486-04be-4533-9936-9c05407114a1,Published,Productive,2017-11-01 00:00:00,A
ch.swisstopo.swisssurface3d-raster.metadata,36ad08cb-ba6b-4bd4-9960-c809a1ff7a66,Published,Productive,2022-11-15 00:00:00,A
ch.bafu.hydrologie-hochwassergrenzwertpegel,36bcd44f-fd6e-49cd-a220-a6e9f386028e,Published,Productive,2005-01-01 00:00:00,A
ch.bafu.silvaprotect-murgang,36f3b788-9d79-40f4-a69e-8c742729a745,Published,Productive,2006-07-01 00:00:00,A
ch.swisstopo.geologie-geotechnik-steinbrueche_1965,375ee9c3-11ea-405f-aefe-1e26cec99003,Published,Productive,2006-03-04 00:00:00,A
ch.swisstopo.swissalti3d-reliefschattierung_monodirektional,376f86bd-c46c-4b89-8f36-717641706226,Published,Productive,2022-10-21 00:00:00,A
ch.swisstopo.vec200-adminboundaries-protectedarea,37c78660-531a-404c-86f8-8cdde0c3d985,Published,Productive,2022-10-19 00:00:00,A
ch.swisstopo.meldungen-karten_geodaten,37fe878e-f207-48f7-9d9a-a4192aeaef71,Published,Productive,2017-05-04 00:00:00,A
ch.med.verladestationen,3849f287-f24c-43bd-8afb-f8181dacdbfa,InProgress,Productive,2022-04-11 00:00:00,A
ch.bfe.solarenergie-eignung-fassaden,3849f57d-9bdd-428c-8d13-08be446e197a,Published,Productive,2023-01-11 00:00:00,A
ch.swisstopo.geologie-eiszeit-lgm-raster_papier.metadata,388210bc-331b-49c1-8146-3fda75a678cf,Published,Decommissioned,2016-01-01 00:00:00,C
ch.bafu.niederschlagserosivitaet-aug,389736f8-514d-4c68-8a9b-1533b97c0dd6,Published,Productive,2019-10-02 00:00:00,A
ch.bakom.downlink20,38b6998c-713b-4c69-b84e-2ebe9c538f2f,Published,Decommissioned,2020-10-31 00:00:00,C
ch.astra.schwerverunfallte-kanton_alkohol,38ec4641-d068-49a0-bdd1-b2b11b6e6d4d,Published,Productive,2022-02-27 00:00:00,A
ch.bfe.energiestaedte,393940cd-6a67-4190-8b91-378669cdea1d,Published,Productive,2019-07-12 00:00:00,A
ch.swisstopo.vec25-eisenbahnnetz,399bc7a4-6b59-4568-821e-10c1dd13415c,Published,Decommissioned,2008-01-10 00:00:00,C
ch.swisstopo.geologie-geotechnik-ziegeleien_1995,39aa3263-1503-48f2-a4d5-38a3758998b4,Published,Decommissioned,2006-03-04 00:00:00,C
ch.astra.schwerverunfallte-kanton_geschwindigkeit,3a3ef559-8bd1-4681-b544-5a53b14bbde2,Published,Productive,2022-02-27 00:00:00,A
ch.bafu.neophyten-nadelkraut,3a4b34cb-354c-44ba-87df-ca8dbe7c2e20,Published,Productive,2015-10-07 00:00:00,A
ch.astra.projektierungszonen-nationalstrassen.oereb,3a780f0b-3d60-4040-b2d7-c68c935666a0,Published,Decommissioned,2021-12-15 00:00:00,C
ch.bafu.gewaesserschutzbereiche,3aaa9b32-d88f-48af-a4af-4a43645c6f91,Published,Decommissioned,2013-10-01 00:00:00,C
gb.dgc.luftfahrtkarte-500,3b9f1e2c-725e-4a54-a6f0-a5c87fbf0cab,Published,Productive,2017-04-03 00:00:00,A
ch.bafu.wald-niederschlag_sommer_2085_stark,3bee92e8-fe96-4afc-bc9c-ba67a0e2dd89,Published,Productive,2021-01-01 00:00:00,A
ch.bafu.landesforstinventar-produktionsregionen,3cc48f49-5641-4bd9-a5a9-22ab01063147,Published,Productive,2020-11-16 00:00:00,A
ch.astra.ivs-nat_wegbegleiter,3cf031e4-eef0-4c14-8bed-d132393dd4bc,Published,Productive,2015-12-31 00:00:00,A
ch.swisstopo.geologie-rohstoffe-ziegel_abbau,3d0120f4-34b2-40cf-b61c-127bd9a27522,Published,Productive,2019-08-29 00:00:00,A
ch.bafu.gefahren-historische_erdbeben,3d1d7649-8c27-435c-ae74-7c0f2e3fbcf1,Published,Productive,2011-04-28 00:00:00,A
ch.bafu.neophyten-topinambur,3d459271-5d29-4454-b416-3cdcc15bff7f,Published,Productive,2015-10-07 00:00:00,A
ch.bafu.erosion-gruenland_bodenabtrag_jun,3d738c4e-26d1-4688-9d4d-3c405214bf77,Published,Productive,2019-04-01 00:00:00,A
org.openstreetmap.religioese-einrichtungen,3dc186da-bdf4-4cca-a27f-6e3753fc0bdb,Published,Productive,2019-07-03 00:00:00,A
ch.swisstopo.swisstlm3d-gewaessernetz,3dc772fe-8356-4a9a-8663-ce5159a42de7,InProgress,Productive,2023-03-08 00:00:00,A
nato.kosovo-dtm-geodis-relief,3dd9034d-bdfc-4001-a2cc-b2543af77b02,InProgress,Productive,2021-12-15 00:00:00,A
ch.meteoschweiz.messwerte-lufttemperatur-10min,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,Published,Productive,2018-03-09 00:00:00,A
nato.kosovo-satellite-10m,3dfac97a-f7cd-4ee7-9b1b-703990ccaf94,InProgress,Productive,2020-11-04 00:00:00,A
ch.meteoschweiz.swissmetnet-foehnindex,3e0099f6-2272-425c-bdfb-2c6cb331133b,InProgress,Productive,2000-01-03 00:00:00,A
ch.bafu.schutzgebiete-aulav_uebrige,3e13af56-e32b-4092-a6eb-2adb6d3967cb,Published,Productive,2021-07-01 00:00:00,A
ch.meteoschweiz.swissmetnet,3e145cfb-b0d8-4237-afbb-a1ce6089ae75,InProgress,Productive,2000-01-03 00:00:00,A
fr.ign.landeskarte-25,3e41935d-ad02-4637-81e6-49c3a05af692,Published,Productive,2016-12-15 00:00:00,A
ch.bafu.neophyten-goetterbaum,3e6ea819-319c-4f72-bc3f-7e9a2bea6d24,Published,Productive,2015-10-07 00:00:00,A
eu.copernicus.eudem,3ec78d0c-4f1b-4793-babb-9191c5bdf556,InProgress,Productive,2022-09-19 00:00:00,A
ch.bafu.landesforstinventar-schutzwaldregionen,3f0550c4-bbfa-4fcd-89ba-217e26b20b71,Published,Productive,2020-11-16 00:00:00,A
ch.bafu.wald-lufttemperatur_juli_1961_1990,3f128c98-955d-4efa-9412-c152a9f84093,Published,Productive,2021-01-01 00:00:00,A
ch.swisstopo.images-swissimage-dop10.metadata,3f340030-15de-4ab6-a1b1-5f33e09a997f,Published,Productive,2021-01-01 00:00:00,A
ch.bafu.neophyten-chinesische_samtpappel,3f58eb56-10ef-4170-ba7c-0e9a9b780751,Published,Productive,2015-10-07 00:00:00,A
ch.bazl.kataster-belasteter-standorte-zivilflugplaetze,3f7c8f9f-b1be-4eb6-a9e2-7bdacf35dd58,Published,Productive,2021-12-15 00:00:00,A
ch.bafu.gefahren-waldbrand_warnung,3f8bc20d-db07-4008-8465-4cc8efa6c84f,InProgress,NotProductive,2023-02-06 00:00:00,B
ch.swisstopo.bruecken,3f9c61c8-669d-4cf9-8bbd-5837ffa4df3f,Published,Productive,2021-03-19 00:00:00,A
ch.bfs.erreichbarkeit-apotheken,3fd30387-b9cb-493e-9e7d-ce9e853afe31,Published,Productive,2018-12-31 00:00:00,A
de.zgeobw.luftfahrtkarte-250,3ff519de-5088-4bec-8197-eaf6dc98fefb,Published,Productive,2019-01-18 00:00:00,A
ch.bafu.neophyten-spaetbluehende_goldrute,407f5593-f5a3-497d-a5fa-97354027085c,Published,Productive,2015-10-07 00:00:00,A
ch.swisstopo.geologie-gisgeol-linien,408e75de-11ce-4d53-9583-99f4aac45b8b,Published,Decommissioned,2015-01-01 00:00:00,C
ch.vbs.schiessplaetze,40a0949b-061a-41d5-a24c-3a5a70e48006,InProgress,Productive,2022-05-12 00:00:00,A
nato.kosovo-bridge,40b58ff6-115d-4134-a5fa-0ec326002ef2,InProgress,Productive,2020-12-16 00:00:00,A
ch.meteoschweiz.messwerte-lufttemperatur-24h-min-1h,40f040da-c19b-4dc4-b798-f672de872f7a,Published,Productive,2018-03-09 00:00:00,A
ch.bakom.uplink10,41263c2e-bec9-4b1e-9e2d-11d69f8df58c,Published,Productive,2020-10-31 00:00:00,A
ch.bav.sachplan-infrastruktur-schifffahrt_anhoerung,414ae620-4afc-46eb-8a0c-5c0c33d0b1eb,Published,Productive,2015-12-04 00:00:00,A
ch.bakom.notruf-112_festnetz,415a014c-b3f6-40bd-8b38-c955e9e214e6,Published,Productive,2021-06-01 00:00:00,A
ch.bafu.sturm-staudruck_50,41ace4c6-967d-4b99-b7aa-a0e51bc63611,Published,Productive,2014-11-07 00:00:00,A
ch.bafu.sturm-staudruck_100,4200db1b-16dd-48bb-8378-75afe4ec002b,Published,Productive,2014-11-07 00:00:00,A
ch.bafu.niederschlagserosivitaet-apr,42bdfe82-dd78-466c-acc5-146ac9651bb3,Published,Productive,2019-10-02 00:00:00,A
ch.swisstopo.geologie-geotechnik-gk500-lithologie_hauptgruppen,435522fb-599e-41c0-a7c0-49d922ea6acf,Published,Productive,2006-03-04 00:00:00,A
ch.bakom.mobil-antennenstandorte-5g,43814de7-42b6-4f33-a4d5-cdca8ca0d6cd,Published,Productive,2018-05-01 00:00:00,A
ch.bakom.mobil-antennenstandorte-lte,4399b61b-23d9-49a8-ba8b-dd2452adbc7c,Published,Productive,2018-05-01 00:00:00,A
ch.swisstopo.skitourenkarte-50.metadata,43a069dd-93ef-4459-81ca-d2cdd7f3b56f,Published,Decommissioned,2021-12-08 00:00:00,C
ch.bav.seilbahnen-bundeskonzession,43a660c0-baa2-4366-ad04-a458afe1ec2c,Published,Productive,2020-08-03 00:00:00,A
ch.bafu.wald-niederschlag_april_august_2085_stark,4419848b-1a5b-47b0-ae82-b737cacc7c48,Published,Productive,2021-01-01 00:00:00,A
ch.bfs.gebaeude_wohnungs_register_waermequelle_heizung,44598622-14ca-4937-a65b-3d3c2207f8a5,InProgress,NotProductive,2023-03-15 00:00:00,B
ch.swisstopo-karto.schneeschuhrouten,449d2ee9-8807-4a64-9844-4e310d28ed2e,Published,Productive,2022-12-01 00:00:00,A
ch.are.beschaeftigtendichte,44c22568-642c-40bf-a9de-5d865800bed2,Published,Decommissioned,2011-12-31 00:00:00,C
ch.are.belastung-personenverkehr-strasse,4540e0db-04c7-4509-b809-11542e7acba9,Published,Productive,2021-06-30 00:00:00,A
ch.bav.schienennetz,4545b545-cdc9-4713-809c-210ee84436b0,InProgress,Productive,2021-07-06 00:00:00,A
ch.vbs.krankenabteilung,45b86146-2aa9-4f3f-a690-18fd2e98dfb5,InProgress,NotProductive,2018-10-25 00:00:00,B
ch.bafu.naqua-grundwasser_psm,460cb36a-c003-404f-a889-b7e818510446,Published,NotProductive,2013-03-05 00:00:00,B
ch.bafu.gewaesserschutz-klaeranlagen,461ae099-e669-43e6-91ee-304749c65cff,Published,NotProductive,2014-01-01 00:00:00,B
ch.bfe.baulinien-starkstromanlagen,46417fda-0985-4a8e-bc4e-b1026c1b244b,Published,NotProductive,2021-12-15 00:00:00,B
ch.bafu.neophyten-fortunes_hanfpalme,46a2cd84-82af-4c34-b45c-881cd3fc0491,Published,Productive,2015-10-07 00:00:00,A
ch.astra.sachplan-infrastruktur-strasse_anhoerung,46c85a17-1248-46b9-bf9c-3a6c7415f74a,Published,Productive,2018-06-27 00:00:00,A
ch.astra.strassenverkehrszaehlung_messstellen-regional_lokal,46d802a1-ee53-4e3a-8af6-77b322e62bf1,Published,Productive,2021-03-22 00:00:00,A
ch.swisstopo.geologie-rohstoffe-vererzungen,46dd5d50-6f7e-4175-ab64-051b16750e38,Published,Productive,2018-01-01 00:00:00,A
ch.bazl.laermbelastungskataster-zivilflugplaetze_letzte-nachtstunde,474bf1cb-ffd3-45d7-a24b-0d89beaa4ad2,Published,Productive,2022-06-30 00:00:00,A
ch.bakom.downlink500,47528be7-774e-4e3e-af3d-3bb5d54f35fc,Published,Productive,2020-10-31 00:00:00,A
ch.bazl.projektierungszonen-flughafenanlagen_aenderung_v2_0.oereb,47918d13-0bf9-4a4c-963f-5a472a85be76,Published,Productive,2020-10-16 00:00:00,A
ch.meteoschweiz.messwerte-luftdruck-850hpa-flaeche-10min,479d53c8-bc50-42d0-a50a-1e6b466f0e08,Published,Productive,2018-03-09 00:00:00,A
ch.bafu.luftreinhaltung-ammoniakkonzentration,47b30108-d19e-4ac1-ab93-cba6a777003b,Published,Productive,2022-08-15 00:00:00,A
ch.swisstopo.uebersicht-schweiz,47d18af4-d747-4466-a01b-f1478f88004b,Published,Decommissioned,2004-01-01 00:00:00,C
ch.vbs.truppenwerkstatt,47dce58a-0a65-4579-b184-05471647582f,InProgress,NotProductive,2021-05-18 00:00:00,B
ch.swisstopo.geologie-geomol-temperaturverteilung_3000,47f79661-212e-4297-b048-2606db7affa8,Published,Productive,2020-03-03 00:00:00,A
ch.bafu.hydrologischer-atlas_kantonale-messstationen,48143f81-0076-463f-a71d-b888cc7fe01b,Published,Productive,2003-01-01 00:00:00,A
ch.vbs.sachplan-infrastruktur-militaer_anhoerung,4817187f-700e-4588-94d6-0873fd23febd,Published,Productive,2022-11-02 00:00:00,A
ch.bakom.downlink1,484aec3b-befd-4b29-adb5-85365119192f,Published,Decommissioned,2020-10-31 00:00:00,C
ch.meteoschweiz.messwerte-globalstrahlung-10min,4865107d-fc3a-4ee7-9532-78e54b3404e8,Published,Productive,2018-03-09 00:00:00,A
ch.bakom.notruf-118_festnetz,48964dfd-eaaa-4443-a281-6a91d6692073,Published,Productive,2021-06-01 00:00:00,A
ch.vbs.schiessanzeigen,49b2cd7e-8513-4c8f-b3e6-ca8cd922b1cc,Published,Productive,2020-02-14 00:00:00,A
ch.bav.laermbelastung-eisenbahn_tatsaechliche_emissionen_nacht,49f67f0b-6122-42f3-8391-f2ceeb367c2f,Published,Productive,2021-09-01 00:00:00,A
ch.swisstopo.swisstlm3d-wanderwege,4a064664-a346-4c1a-b424-4e8a0f0b56cb,InProgress,Productive,2023-03-08 00:00:00,A
ch.bafu.wrz-wildruhezonen_portal,4a0c8bc7-89d1-484e-a34a-454a31267c41,Published,Productive,2022-12-01 00:00:00,A
ch.bafu.unesco-weltnaturerbe,4a571da5-c3af-47fe-99a1-f33fc29d1cd9,Published,Productive,2008-07-24 00:00:00,A
ch.bfs.generalisierte-grenzen_agglomerationen_g2,4aa954c6-2d71-4d96-ab85-cb5fb128be8e,Published,Productive,2022-01-01 00:00:00,A
ch.bakom.notruf-145_mobilnetz,4ab16b53-65f3-4427-a667-8cce75f71fd0,Published,NotProductive,2021-06-01 00:00:00,B
ch.astra.strassenverkehrszaehlung-uebergeordnet,4ae9023e-bba8-4807-ab5c-de97c7ee0af9,Published,NotProductive,2021-12-31 00:00:00,B
ch.vbs.swissmilpilotschart,4aeffa2c-5b31-41fa-bdc8-17f6faf09848,Published,Productive,2022-03-24 00:00:00,A
ch.swisstopo.vec200-names-namedlocation,4af350f6-2df1-4b5b-947f-6d65aea528f8,Published,Productive,2022-10-19 00:00:00,A
ch.bafu.wald-obere_waldgrenze,4b185207-12c4-4d49-9b3e-7870054685ae,Published,Productive,2021-01-01 00:00:00,A
ch.vbs.uebersicht-waffenplatzkarten,4b23ffb0-7e04-4909-9f3a-aea26d5e61e7,InProgress,Productive,2022-10-12 00:00:00,A
ch.swisstopo.uebersicht-gemeinden,4b7c4c56-7ce8-4123-9f59-adc7d84fd63a,Published,Decommissioned,2004-01-01 00:00:00,C
ch.meteoschweiz.klimanormwerte-niederschlag_1961_1990,4b9ddc34-69b3-49a0-bdb9-5f9ed053030a,Published,Productive,2021-11-25 00:00:00,A
ch.bafu.waldreservate,4b9ff750-3e52-43e9-80d1-c07c59c469fd,Published,Productive,2019-12-31 00:00:00,A
ch.swisstopo.landeskarte200_papier.metadata,4bdecb2b-c692-4050-a08a-45e2041358ed,Published,Decommissioned,2021-12-15 00:00:00,C
ch.bfs.volkszaehlung-bevoelkerungsstatistik_einwohner,4bfbbf20-d90e-4131-8fe2-4c454ad45c16,Published,Productive,2021-12-31 00:00:00,A
ch.bafu.gewaesserschutz-chemischer_zustand_phosphat,4c2c25da-35fe-40a8-97be-feb29051a170,Published,Productive,2015-12-31 00:00:00,A
ch.bakom.uplink2,4c6dfd42-9046-4b97-806c-eaa18377e6c0,Published,Decommissioned,2020-10-31 00:00:00,C
ch.swisstopo.pixelkarte-farbe-pk50.noscale,4c8c7c58-61c7-4a61-8e7a-6ffb95d183df,Published,Productive,2019-01-01 00:00:00,A
nato.kosovo-tunnel,4ca352ef-e2d7-4834-8c58-877e84d9f1d7,InProgress,Productive,2020-12-16 00:00:00,A
ch.swisstopo.geologie-geophysik-aeromagnetische_karte_schweiz,4cc706a2-0005-4cc6-8326-7b944a1d5b05,Published,Productive,2012-06-28 00:00:00,A
ch.meteoschweiz.messwerte-luftdruck-qff-10min,4d0b133f-8225-4ff9-914d-961f8f6e91a6,Published,Productive,2018-03-09 00:00:00,A
ch.bafu.sturm-boeenspitzen_100,4d1d17aa-2b92-42a9-b847-d6597631a264,Published,Productive,2014-11-07 00:00:00,A
ch.bakom.mobilnetz-4g,4d42230c-c187-40d2-9b16-4dc247a2e154,Published,Productive,2020-10-31 00:00:00,A
ch.swisstopo.swissbuildings3d,4d4544b1-d57b-4ccc-b69d-582198286692,InProgress,Decommissioned,2021-05-20 00:00:00,C
ch.blw.bodeneignung-kulturtyp,4d7ea1c8-451b-46b6-8e16-ffee10e0c9a7,Published,Productive,2008-10-24 00:00:00,A
ch.bazl.luftraeume-fluginformationszonen,4d9bdb6f-3af1-4ef1-aad0-d6560ff996e0,Published,Productive,2022-03-24 00:00:00,A
ch.swisstopo.geologie-bodenunruhe,4dba9c57-2e2b-4b69-844b-bd2001fa53a8,Published,Productive,2017-03-31 00:00:00,A
ch.bafu.erosion-gruenland_bodenabtrag_sep,4dc18e2d-e3e4-415b-b141-2c61feb1da52,Published,Productive,2019-04-01 00:00:00,A
ch.bafu.neophyten-bastard_staudenknoeterich,4e7b2bb9-7456-4a4c-b525-5fedc6665277,Published,Productive,2015-10-07 00:00:00,A
ch.bafu.gewaesserschutz-klaeranlagen_anteilq347,4e8a2a6b-9ede-4107-9b50-6e9af7389144,Published,Productive,2014-01-01 00:00:00,A
ch.swisstopo.pixelkarte-farbe-pk1000.noscale,4ea228b8-7910-4339-8a31-d38d8d8592bd,Published,Productive,2022-01-01 00:00:00,A
ch.bafu.karst-ausdehnung_grundwasservorkommen,4ea295bb-a098-492b-84f8-e7687737fb35,Published,Productive,2016-03-01 00:00:00,A
ch.blw.klimaeignung-futterbau,4f01b7dd-a576-45ee-9158-82789334c577,Published,Productive,2008-10-24 00:00:00,A
ch.bafu.hydrologie-wassertemperaturmessstationen,4f10c35a-8fac-4000-ab6d-7a294284059a,Published,Productive,2017-10-01 00:00:00,A
ch.bakom.downlink300,4f2bd604-1454-4371-aeed-bdf200b00df1,Published,Productive,2020-10-31 00:00:00,A
ch.bakom.uplink100,4f9876c4-5fa6-4cbc-b3db-b5934c681e7b,Published,Productive,2020-10-31 00:00:00,A
ch.swisstopo.geologie-geomol-temperatur_top_omm,4f9e3f59-891e-434b-bba5-40db1b9495e0,Published,Productive,2020-03-03 00:00:00,A
ch.bazl.flugplaetze-heliports,4fbaa79b-688f-4060-9afd-b1c5b2147ee2,Published,Productive,2021-03-25 00:00:00,A
ch.bafu.flora-verbreitungskarten,5030c188-ef5c-48d6-aa06-330b7744547e,Published,Productive,2008-06-12 00:00:00,A
ch.bfs.arealstatistik-bodennutzung,5082c28a-33cc-47d6-a577-a6118238def5,Published,Decommissioned,2018-12-31 00:00:00,C
de.zgeobw.luftfahrtkarte-500-tag,508e57ec-dc80-4326-b4c6-3de33b12caba,Published,Productive,2018-04-05 00:00:00,A
ch.bafu.typisierung-fliessgewaesser,50a848cc-fe89-426a-940b-cc409cb4ff50,Published,Productive,2013-01-01 00:00:00,A
ch.bak.halteplaetze-jenische_sinti_roma,51193e6b-d3d6-4202-8d1c-8bdb49f59535,Published,Productive,2022-10-01 00:00:00,A
ch.bfs.arealstatistik-bodennutzung-1997,5257c12e-bb39-4983-a98a-8103cb3f1611,Published,Decommissioned,2018-12-31 00:00:00,C
ch.vbs.sachplan-infrastruktur-militaer_kraft,5263bc47-8723-4c02-988a-4ae0d425099c,Published,Productive,2022-11-02 00:00:00,A
ch.swisstopo.wanderkarte50_papier.metadata,52a80350-0a23-487b-a164-8d5e7686336e,Published,Decommissioned,2022-01-01 00:00:00,C
ch.bafu.hydrologischer-atlas_bilanzgebiete,52d0c066-65dd-4dd1-ac94-2b34f83a9bd6,Published,Productive,2019-12-01 00:00:00,A
ch.swisstopo.lubis-luftbilder-dritte-kantone,5327cb7b-269b-4d02-b199-19418ee33d54,Published,Productive,2021-05-05 00:00:00,A
ch.bafu.strukturguete-hochrhein_linkesufer,536e1742-182c-4fb3-a067-12899be38afa,Published,Productive,2002-01-01 00:00:00,A
ch.bafu.fischerei-aeschen_laichplaetze,53c8a8bb-67ab-4525-8b64-011079e63294,Published,Productive,2011-08-29 00:00:00,A
nato.kosovo-dtm-geodis-2m,53f58249-ed69-4ac1-a7c6-0fcce0ab0963,InProgress,Productive,2021-12-15 00:00:00,A
ch.bag.radonkarte,54a8a239-ace3-4510-8fd4-7b4ddc370727,Published,Productive,2017-06-10 00:00:00,A
ch.bafu.schutzgebiete-aulav_auen,54d007ed-2ab9-4cb3-9b41-b3c74a519eae,Published,Productive,2021-07-01 00:00:00,A
ch.bafu.landesforstinventar-vegetationshoehenmodell_relief,55eb4917-ce3b-423b-873f-2c8efb1c6762,Published,Productive,2019-12-31 00:00:00,A
ch.bafu.gewaesserschutz-badewasserqualitaet,5601eb96-45cb-40a4-a595-2ec0ebda8e8c,Published,Productive,2021-12-31 00:00:00,A
ch.bfs.gebaeude_wohnungs_register,56553efe-4a2c-449d-93ba-cf7edd518d56,InProgress,Productive,2023-03-15 00:00:00,A
ch.astra.strassenverkehrszaehlung_messstellen-uebergeordnet,56b6461f-1046-412c-9e70-06fb433f0dbf,InProgress,Productive,2021-03-22 00:00:00,A
ch.swisstopo.schneeschuhwandern,56c1795e-c074-4731-9766-9a44050dc2a8,Published,Productive,2022-11-01 00:00:00,A
ch.swisstopo.geologie-gletschermaechtigkeit,57052989-5074-4841-abb6-22d1989d615f,Published,NotProductive,2020-10-08 00:00:00,B
ch.bafu.oekomorphologie-f_bauwerke,5742b03b-d567-4acb-a84d-a3069faaa396,Published,Productive,2008-09-13 00:00:00,A
ch.astra.unfaelle-personenschaeden_fussgaenger,578457c1-debb-41b9-8f2c-18d33148cfa5,Published,Productive,2022-02-27 00:00:00,A
ch.swisstopo.transformationsgenauigkeit,579e0ecf-6700-4652-81f5-bf0e28f2fcd6,Published,Productive,2017-11-01 00:00:00,A
ch.meteoschweiz.hagelgefaehrdung-korngroesse_10_jahre,57bfd8dd-5385-4bab-956d-3757d53027f5,Published,Productive,2021-04-01 00:00:00,A
ch.swisstopo.geologie-geologischer_atlas_vector,57d62db4-6470-4bbe-a054-5dbcd37e595b,Published,NotProductive,2017-01-01 00:00:00,B
ch.vbs.krankenzimmer,57f2e574-4ac0-4949-a467-6020a9ead897,InProgress,Productive,2022-03-18 00:00:00,A
ch.bafu.planerischer-gewaesserschutz_gewaesserschutzbereiche,59071e18-f06e-4b4a-8ae3-833df07f2c42,InClarification,Decommissioned,2018-11-06 00:00:00,C
ch.swisstopo.landeskarte500_papier.metadata,595cf684-fb65-41b7-b4ca-786cbe092fe6,Published,Decommissioned,2022-01-27 00:00:00,C
ch.bazl.gebietsbeschraenkungen-drohnen,59679879-e7c3-4dcb-98ff-3ac17178c1e4,InProgress,NotProductive,2022-07-18 00:00:00,B
ch.swisstopo.pixelkarte-pk200.metadata,59d2f908-51ab-40f5-912b-c446b3c3994f,Published,Productive,2021-11-18 00:00:00,A
